10~15	石塚英彦	中村俊介	徳永英明	20
10~15	伊藤英明	坂口憲二	None	21
15~20	篠原涼子	三浦春馬	ケラケラ	22
under5	佐藤隆太	塚本高史	GReeeeN	23
10~15	唐沢寿明	松雪泰子	2PM	22
5~10	武井咲	大倉忠義	関ジャニ	23
under5	染谷将太	夏帆	None	24
5~10	仲間由紀恵	井浦新	長渕剛	21
5~10	観月ありさ	松本利夫	None	21
5~10	古田新太	中丸雄一	None	23
10~15	米倉涼子	溝端淳平	EXILE	21
under5	中島健人	板野友美	Sexy Zone	24
10~15	新垣結衣	綾野剛	安室奈美恵	21
5~10	小泉孝太郎	深田恭子	近藤晃央	20
under5	堂本剛	川口春奈	堂本剛	24
under5	SUPER☆GiRLS	山崎樹範	SUPER☆GiRLS	26
10~15	山下智久	香里奈	山下智久	21
5~10	井川遥	斎藤工	西野カナ	22
5~10	田中麗奈	国仲涼子	GLAY	22
under5	吉沢亮	桐山漣	None	26
10~15	松嶋菜々子	時任三郎	DREAMS COME TRUE	21
5~10	広末涼子	福士蒼汰	YUKI	22
10~15	渡瀬恒彦	井ノ原快彦	V6	21
10~15	江角マキコ	ベッキー	Serena	22
10~15	満島ひかり	田中裕子	androp	22
under5	SHOKICHI	NAOTO	THE SECOND from EXILE	25
under5	前田敦子	池松壮亮	LUHICA	20
5~10	玉森裕太	中山優馬	Kis-My-Ft2	21
under5	夏帆	高橋長英	Acid Black Cherry	24
15~20	沢村一樹	高嶋政伸	B'z	21
10~15	名取裕子	寺島進	None	20
5~10	織田裕二	田中奏生	GReeeeN	22
under5	眞木大輔	忽那汐里	THE SECOND from EXILE	23
10~15	舘ひろし	浅野温子	指田郁也	22
5~10	生瀬勝久	池田鉄洋	ザ・マスミサイル	23
5~10	森山未来	尾野真千子	None	21
5~10	東山紀之	吉田鋼太郎	None	21
5~10	西内まりや	山本裕典	前田敦子	23
10~15	観月ありさ	桐谷美玲	None	21
under5	藤ヶ谷太輔	大政絢	Kis-My-Ft2	24
over25	堺雅人	上戸彩	None	21
5~10	椎名桔平	要潤	シクラメン	20
under5	中丸雄一	木村文乃	KAT-TUN	24
10~15	松田翔太	武井咲	家入レオ	21
under5	滝沢秀明	桐山照史	Chara	22
10~15	堀北真希	相武紗季	kaho	21
5~10	錦戸亮	倉科カナ	関ジャニ	22
15~20	水谷豊	成宮寛貴	None	21
15~20	堺雅人	新垣結衣	None	22
5~10	竹内結子	松坂桃李	None	22
under5	川口春奈	鈴木砂羽	Serena	21
